id_gen	symbol	log2FC_E1_vs_Ctrl	adj-p-value_E1_vs_Ctrl	log2FC_E2_vs_Ctrl	adj-p-value_E2_vs_Ctrl	log2FC_E3_vs_Ctrl	adj-p-value_E3_vs_Ctrl	log2FC_E4_vs_Ctrl	adj-p-value_E4_vs_Ctrl	BP	MF	CC	vias_reactome
ENSG00000091129	NRCAM	1.420827000000001	0.32171198293187386	0.9044403333333353	0.0226409949454117	0.34935700000000125	0.9441523884949113	0.04848033333333479	0.9834780633304109	heterotypic cell-cell adhesion, clustering of voltage-gated sodium channels, synapse assembly, brain development, protein localization, regulation of axon extension, cell-cell adhesion, regulation of postsynapse organization, axonogenesis, neuronal action potential propagation, neuron migration, angiogenesis, central nervous system development, retinal ganglion cell axon guidance, regulation of neuron projection development, axon guidance, axonal fasciculation, positive regulation of neuron differentiation	ankyrin binding, protein binding involved in heterotypic cell-cell adhesion, cell-cell adhesion mediator activity, protein binding	neuron projection, postsynaptic density membrane, axon initial segment, external side of plasma membrane, glutamatergic synapse, extracellular region, axon, plasma membrane	Interaction between L1 and Ankyrins, NrCAM interactions, Nervous system development, Neurofascin interactions, L1CAM interactions, Developmental Biology, Axon guidance
ENSG00000060718	COL11A1	0.16706550000000053	0.9763376032086476	0.7393538333333369	0.03849351063479053	0.30061550000000103	0.9482400491434186	0.2698221666666685	0.8412094276694181	ossification, visual perception, extracellular matrix organization, tendon development, cartilage condensation, collagen fibril organization, endodermal cell differentiation, sensory perception of sound, detection of mechanical stimulus involved in sensory perception of sound, inner ear morphogenesis, embryonic skeletal system morphogenesis, ventricular cardiac muscle tissue morphogenesis, chondrocyte development, proteoglycan metabolic process	extracellular matrix binding, metal ion binding, protein-macromolecule adaptor activity, extracellular matrix structural constituent conferring tensile strength, extracellular matrix structural constituent, heparin binding, heparan sulfate binding	endoplasmic reticulum lumen, extracellular space, collagen type XI trimer, collagen-containing extracellular matrix, extracellular region	MET activates PTK2 signaling, Extracellular matrix organization, Collagen degradation, Signal Transduction, Collagen chain trimerization, Assembly of collagen fibrils and other multimeric structures, Non-integrin membrane-ECM interactions, Collagen formation, Signaling by Receptor Tyrosine Kinases, Signaling by MET, Collagen biosynthesis and modifying enzymes, Degradation of the extracellular matrix, MET promotes cell motility
ENSG00000157554	ERG	0.533660499999999	0.8140800830566726	0.48005133333333294	0.11426308622999704	0.09379549999999881	0.9854123896292231	0.5267904999999988	0.4260017498860279	signal transduction, regulation of transcription by RNA polymerase II, positive regulation of transcription by RNA polymerase II, protein phosphorylation, cell differentiation	DNA binding, protein binding, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, chromatin binding, sequence-specific double-stranded DNA binding	nucleus, cytosol, ribonucleoprotein complex, chromatin, nucleoplasm	
ENSG00000136153	LMO7	-0.34786800000000184	0.956489911734366	0.138498666666667	0.8133929613499987	0.15480199999999833	0.9826835103327234	-0.19528466666666588	0.9264016662896727	protein ubiquitination, positive regulation of transcription by RNA polymerase II, regulation of signaling, regulation of cell adhesion	metal ion binding, ubiquitin-protein transferase activity	nuclear envelope, nucleus, cytosol, ubiquitin ligase complex, focal adhesion, cytoplasm, apical plasma membrane, cell surface	Class I MHC mediated antigen processing & presentation, Signaling by ALK fusions and activated point mutants, Diseases of signal transduction by growth factor receptors and second messengers, Antigen processing: Ubiquitination & Proteasome degradation, Immune System, Adaptive Immune System, Post-translational protein modification, Disease, Neddylation, Metabolism of proteins, Signaling by ALK in cancer
ENSG00000135069	PSAT1	1.242858000000001	0.6342739301538617	1.266643000000002	0.013641732837545092	1.3102980000000013	0.6149542633754428	1.5678246666666693	0.06299414103983372	L-serine biosynthetic process, pyridoxine biosynthetic process	identical protein binding, pyridoxal phosphate binding, O-phospho-L-serine:2-oxoglutarate aminotransferase activity, protein binding	extracellular exosome, cytoplasm, cytosol	Metabolism, Serine biosynthesis, Metabolism of amino acids and derivatives
ENSG00000149968	MMP3	4.345505	0.12787911449707848	4.009815000000002	0.00019335249328722955	5.346535	0.09566895406053422	2.496828333333334	0.10598118481623632	extracellular matrix organization, negative regulation of reactive oxygen species metabolic process, innate immune response, cellular response to UV-A, cellular response to nitric oxide, collagen catabolic process, positive regulation of protein-containing complex assembly, regulation of neuroinflammatory response, extracellular matrix disassembly, proteolysis, response to amyloid-beta, cellular response to reactive oxygen species	protein binding, serine-type endopeptidase activity, endopeptidase activity, metalloendopeptidase activity, peptidase activity, metallopeptidase activity, zinc ion binding	nucleus, cytoplasm, extracellular space, extracellular matrix, extracellular region	Extracellular matrix organization, Collagen degradation, Assembly of collagen fibrils and other multimeric structures, Cytokine Signaling in Immune system, Gastrin-CREB signalling pathway via PKC and MAPK, Interleukin-4 and Interleukin-13 signaling, Activation of Matrix Metalloproteinases, Collagen formation, GPCR downstream signalling, Extra-nuclear estrogen signaling, Signaling by Interleukins, ESR-mediated signaling, Signal Transduction, G alpha (q) signalling events, Signaling by GPCR, EGFR Transactivation by Gastrin, Degradation of the extracellular matrix, Immune System, Signaling by Nuclear Receptors
ENSG00000105464	GRIN2D	0.028763000000000538	0.9962567821246202	0.20048633333333576	0.49166383875640685	0.7446730000000006	0.5663675531490937	0.5547663333333368	0.2806391660397086	ionotropic glutamate receptor signaling pathway, regulation of neuronal synaptic plasticity, startle response, regulation of synaptic plasticity, excitatory postsynaptic potential, brain development, regulation of sensory perception of pain, adult locomotory behavior, positive regulation of synaptic transmission, glutamatergic, positive regulation of excitatory postsynaptic potential, synaptic transmission, glutamatergic, excitatory chemical synaptic transmission, calcium ion transmembrane import into cytosol, long-term synaptic potentiation, regulation of monoatomic cation transmembrane transport, monoatomic cation transmembrane transport, calcium-mediated signaling, regulation of presynaptic membrane potential	voltage-gated monoatomic cation channel activity, protein binding, glutamate binding, neurotransmitter binding, transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential, ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential, ionotropic glutamate receptor activity, glutamate-gated calcium ion channel activity, NMDA glutamate receptor activity	endoplasmic reticulum membrane, NMDA selective glutamate receptor complex, postsynaptic density membrane, hippocampal mossy fiber to CA3 synapse, presynaptic active zone membrane, postsynaptic membrane, glutamatergic synapse, plasma membrane	Neuronal System, RAF/MAP kinase cascade, Neurexins and neuroligins, MAPK1/MAPK3 signaling, Assembly and cell surface presentation of NMDA receptors, Neurotransmitter receptors and postsynaptic signal transmission, Long-term potentiation, Signal Transduction, Unblocking of NMDA receptors, glutamate binding and activation, Activation of NMDA receptors and postsynaptic events, MAPK family signaling cascades, Synaptic adhesion-like molecules, Transmission across Chemical Synapses, Negative regulation of NMDA receptor-mediated neuronal transmission, Protein-protein interactions at synapses, CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling, Post NMDA receptor activation events, Ras activation upon Ca2+ influx through NMDA receptor
ENSG00000118473	SGIP1	1.3406190000000002	0.44689567400919633	1.1581240000000017	0.008632333105478562	0.5330490000000001	0.9066633732165279	0.8515956666666682	0.3231833765050912	response to dietary excess, positive regulation of receptor-mediated endocytosis, clathrin-dependent endocytosis, energy homeostasis, positive regulation of feeding behavior	microtubule binding, phospholipid binding, protein binding, SH3 domain binding	cytosol, clathrin-coated pit, cytoplasm, clathrin-coated vesicle, plasma membrane, AP-2 adaptor complex	Clathrin-mediated endocytosis, Membrane Trafficking, Vesicle-mediated transport, Cargo recognition for clathrin-mediated endocytosis
ENSG00000111110	PPM1H	1.271798500000001	0.341067839047133	1.0914018333333368	0.00399781694218964	0.5296335000000001	0.8678536792468087	1.0596718333333355	0.08133845990174167		myosin phosphatase activity, protein binding, identical protein binding, [pyruvate dehydrogenase (lipoamide)] phosphatase activity, phosphoprotein phosphatase activity	nucleus, glutamatergic synapse, cytoplasm, mitochondrion, nucleoplasm	
ENSG00000091879	ANGPT2	1.489356	0.5911567883074678	1.6433310000000008	0.005966260804127426	0.9002559999999997	0.8505212916430325	1.0210776666666668	0.4091016239072917	response to mechanical stimulus, glomerulus vasculature development, angiogenesis, response to glucose, maternal process involved in female pregnancy, negative regulation of angiogenesis, signal transduction, positive regulation of angiogenesis, germ cell development, negative regulation of positive chemotaxis, negative regulation of cell-substrate adhesion, gene expression, animal organ regeneration, cellular response to growth factor stimulus, response to activity, negative regulation of blood vessel endothelial cell migration, response to organic cyclic compound, Tie signaling pathway, response to hypoxia	metal ion binding, signaling receptor binding, protein binding, receptor tyrosine kinase binding	cell projection, collagen-containing extracellular matrix, extracellular region, extracellular space	Hemostasis, Cell surface interactions at the vascular wall, Tie2 Signaling
ENSG00000162892	IL24	1.5533809999999981	0.811768925318073	1.4888476666666675	0.08819943358562851	1.9293009999999988	0.7201571552809054	0.6174343333333319	0.8534849065644292	signal transduction, negative regulation of cell population proliferation, cellular response to interleukin-4, positive regulation of tyrosine phosphorylation of STAT protein, negative regulation of cell migration, serine phosphorylation of STAT protein, positive regulation of cell population proliferation, cellular response to lipopolysaccharide, apoptotic process	cytokine activity, protein binding	extracellular region, extracellular space	Signaling by Interleukins, Interleukin-20 family signaling, Cytokine Signaling in Immune system, Immune System
ENSG00000213468	FIRRE	2.0736595000000015	0.30092553187941845	1.2982061666666702	0.02117865303306582	2.2004945000000022	0.3295527190246843	1.3453128333333364	0.18252362846555867		DNA-DNA tethering activity, protein binding	Barr body, X chromosome, autosome	
ENSG00000127928	GNGT1	-1.0004919999999986	0.3130085084651822	-0.001445333333331078	0.9972696720625531	-0.3120619999999992	0.9170708242365941	0.013308000000002096	0.9935957412787236	signal transduction, cardiac muscle cell apoptotic process, G protein-coupled receptor signaling pathway, phototransduction, protein localization, eye photoreceptor cell development, cellular response to hypoxia	GTPase activity, protein binding, G-protein beta-subunit binding	heterotrimeric G-protein complex, photoreceptor disc membrane, photoreceptor inner segment	Neuronal System, Regulation of insulin secretion, Potassium Channels, GABA B receptor activation, Metabolism, Leishmania parasite growth and survival, Activation of the phototransduction cascade, GABA receptor activation, Disease, Thromboxane signalling through TP receptor, Inactivation, recovery and regulation of the phototransduction cascade, G alpha (s) signalling events, Activation of G protein gated Potassium channels, Visual phototransduction, Neurotransmitter receptors and postsynaptic signal transmission, Parasitic Infection Pathways, Hemostasis, Integration of energy metabolism, Leishmania infection, Sensory Perception, G protein gated Potassium channels, Ca2+ pathway, Signal amplification, Adrenaline,noradrenaline inhibits insulin secretion, Anti-inflammatory response favouring Leishmania parasite infection, Beta-catenin independent WNT signaling, Protein folding, Glucagon-like Peptide-1 (GLP1) regulates insulin secretion, GPCR downstream signalling, Metabolism of proteins, Class B/2 (Secretin family receptors), G-protein beta:gamma signalling, Platelet homeostasis, Extra-nuclear estrogen signaling, Signaling by WNT, Signal Transduction, ESR-mediated signaling, Chaperonin-mediated protein folding, Signaling by GPCR, G alpha (q) signalling events, The phototransduction cascade, G alpha (z) signalling events, Transmission across Chemical Synapses, G alpha (12/13) signalling events, ADP signalling through P2Y purinoceptor 1, Vasopressin regulates renal water homeostasis via Aquaporins, Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits, ADP signalling through P2Y purinoceptor 12, Presynaptic function of Kainate receptors, ADORA2B mediated anti-inflammatory cytokines production, Transport of small molecules, GPER1 signaling, Infectious disease, G beta:gamma signalling through PLC beta, G-protein activation, Glucagon-type ligand receptors, G beta:gamma signalling through PI3Kgamma, Inwardly rectifying K+ channels, Thrombin signalling through proteinase activated receptors (PARs), G alpha (i) signalling events, Activation of GABAB receptors, Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding, G beta:gamma signalling through BTK, GPCR ligand binding, Prostacyclin signalling through prostacyclin receptor, Aquaporin-mediated transport, Platelet activation, signaling and aggregation, Signaling by Nuclear Receptors, G beta:gamma signalling through CDC42, Activation of kainate receptors upon glutamate binding, Opioid Signalling
ENSG00000139734	DIAPH3	2.0651329999999994	0.09514243964455148	1.327616333333336	0.0018848238175727299	1.3426530000000003	0.4360484792698274	1.4619163333333356	0.024121995667195407	actin cytoskeleton organization, cytoskeleton organization, actin filament polymerization	cadherin binding, small GTPase binding, actin binding	cytoplasm, nucleus, actin filament, cytosol	CDC42 GTPase cycle, RHOQ GTPase cycle, RHOA GTPase cycle, Signaling by Rho GTPases, Miro GTPases and RHOBTB3, RHOJ GTPase cycle, RHOB GTPase cycle, RHOC GTPase cycle, Signal Transduction, RHOG GTPase cycle, RHOD GTPase cycle, RHOF GTPase cycle, RHO GTPases Activate Formins, RHO GTPase cycle, RAC2 GTPase cycle, RAC1 GTPase cycle, RAC3 GTPase cycle, RHO GTPase Effectors, Signaling by Rho GTPases
ENSG00000172164	SNTB1	1.6635539999999986	0.07391501672046716	0.8825556666666676	0.004889522192665087	1.1493539999999998	0.34375085801586663	0.8505506666666678	0.09569330695959967		PDZ domain binding, protein binding, calmodulin binding, structural molecule activity, actin binding	protein-containing complex, sarcolemma, cytoskeleton, focal adhesion, cytoplasm, synapse, intracellular anatomical structure, dystrophin-associated glycoprotein complex	
ENSG00000090889	KIF4A	1.3286649999999982	0.26613329292470944	1.4770716666666663	0.00024723827124397687	1.5262349999999998	0.24043430619327052	1.0826316666666669	0.05628898706612692	organelle organization, mitotic cytokinesis, spindle elongation, mitotic spindle midzone assembly, anterograde axonal transport, mitotic spindle organization	DNA binding, ATP binding, protein binding, metal ion binding, iron-sulfur cluster binding, microtubule binding, microtubule motor activity	nuclear matrix, microtubule associated complex, cytosol, cytoplasm, axon cytoplasm, membrane, spindle microtubule, chromosome, nucleoplasm, midbody	Recycling pathway of L1, COPI-dependent Golgi-to-ER retrograde traffic, Hemostasis, Axon guidance, Membrane Trafficking, Intra-Golgi and retrograde Golgi-to-ER traffic, Nervous system development, Immune System, Kinesins, MHC class II antigen presentation, Factors involved in megakaryocyte development and platelet production, Golgi-to-ER retrograde transport, Adaptive Immune System, L1CAM interactions, Developmental Biology, Vesicle-mediated transport
ENSG00000125977	EIF2S2	1.656540999999999	0.1012731837630293	1.1762810000000012	0.0010613699340495802	1.1387959999999993	0.40759573087462203	0.9692660000000028	0.07416256886458741	male gonad development, translational initiation, male germ cell proliferation, formation of translation preinitiation complex, formation of cytoplasmic translation initiation complex, in utero embryonic development	RNA binding, translation initiation factor binding, protein binding, metal ion binding, translation factor activity, RNA binding, mRNA binding, translation initiation factor activity	nucleus, cytosol, cytoplasm, synapse, eukaryotic translation initiation factor 2 complex	Eukaryotic Translation Initiation, Response of EIF2AK4 (GCN2) to amino acid deficiency, Response of EIF2AK1 (HRI) to heme deficiency, Formation of the ternary complex, and subsequently, the 43S complex, Translation, Unfolded Protein Response (UPR), GTP hydrolysis and joining of the 60S ribosomal subunit, Cap-dependent Translation Initiation, Recycling of eIF2:GDP, Metabolism of proteins, Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S, Cellular responses to stress, Cellular response to starvation, Ribosomal scanning and start codon recognition, ABC-family proteins mediated transport, Transport of small molecules, Translation initiation complex formation, PERK regulates gene expression, L13a-mediated translational silencing of Ceruloplasmin expression, Cellular responses to stimuli
ENSG00000186377	CYP4X1	1.157826	0.798827404501555	1.1736660000000017	0.06263785580404901	1.5704760000000002	0.6409313996225974	0.7422360000000019	0.6794886549922667		anandamide 14,15 epoxidase activity, heme binding, iron ion binding		
ENSG00000160862	AZGP1	0.4751650000000005	0.9190430532975733	0.8969600000000018	0.035691740183166676	2.0217650000000003	0.20353950890943104	0.7642450000000016	0.40429869812532093	negative regulation of cell population proliferation, retina homeostasis, protein transmembrane transport, detection of chemical stimulus involved in sensory perception of bitter taste, immune response, cell adhesion	RNA nuclease activity, protein transmembrane transporter activity, protein binding	extracellular exosome, nucleus, external side of plasma membrane, extracellular space, collagen-containing extracellular matrix, extracellular region	Miscellaneous transport and binding events, Transport of small molecules
ENSG00000164946	FREM1	3.0267920000000004	0.14059487045166302	0.864567000000001	0.18681476322787396	2.523661999999998	0.3340309085499899	1.6930186666666671	0.13064982523320706	craniofacial suture morphogenesis, anatomical structure morphogenesis, cell-matrix adhesion, cell communication	metal ion binding, carbohydrate binding, protein binding	collagen-containing extracellular matrix, membrane, extracellular region, basement membrane	
ENSG00000273079	GRIN2B	1.2244094999999993	0.7247615892431278	1.199022833333335	0.0370414849732904	0.8119594999999995	0.8782577864245056	1.0367361666666683	0.3988504162799508	ionotropic glutamate receptor signaling pathway, regulation of neuronal synaptic plasticity, brain development, chemical synaptic transmission, synaptic transmission, glutamatergic, excitatory chemical synaptic transmission, learning or memory, excitatory postsynaptic potential, response to ethanol, long-term synaptic potentiation, regulation of monoatomic cation transmembrane transport, positive regulation of cysteine-type endopeptidase activity, glutamate receptor signaling pathway, monoatomic cation transmembrane transport, positive regulation of neuron death, calcium-mediated signaling, positive regulation of excitatory postsynaptic potential, positive regulation of synaptic transmission, glutamatergic, regulation of synaptic plasticity, protein heterotetramerization, calcium ion transmembrane import into cytosol, negative regulation of dendritic spine maintenance, regulation of presynaptic membrane potential	protein binding, amyloid-beta binding, glutamate binding, glycine binding, transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential, ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential, glutamate-gated calcium ion channel activity, NMDA glutamate receptor activity, zinc ion binding	endoplasmic reticulum membrane, NMDA selective glutamate receptor complex, neuron projection, synaptic membrane, postsynaptic density membrane, postsynaptic density, postsynaptic membrane, cytoskeleton, cell surface, late endosome, cytoplasm, lysosome, plasma membrane	Neuronal System, Unblocking of NMDA receptors, glutamate binding and activation, CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling, MAPK family signaling cascades, Ras activation upon Ca2+ influx through NMDA receptor, Post NMDA receptor activation events, Neurotransmitter receptors and postsynaptic signal transmission, RNA Polymerase II Transcription, Generic Transcription Pathway, Activation of NMDA receptors and postsynaptic events, Synaptic adhesion-like molecules, MECP2 regulates neuronal receptors and channels, Negative regulation of NMDA receptor-mediated neuronal transmission, Signaling by NTRKs, EPH-Ephrin signaling, Neurexins and neuroligins, Long-term potentiation, Signal Transduction, Transcriptional Regulation by MECP2, Transmission across Chemical Synapses, Signaling by Receptor Tyrosine Kinases, Assembly and cell surface presentation of NMDA receptors, Axon guidance, Developmental Biology, RAF/MAP kinase cascade, MAPK1/MAPK3 signaling, Signaling by NTRK2 (TRKB), Nervous system development, Activated NTRK2 signals through FYN, EPHB-mediated forward signaling, Gene expression (Transcription), Protein-protein interactions at synapses
ENSG00000165376	CLDN2	1.1304290000000021	0.25614284804811077	0.7149223333333365	0.014273887458464819	1.7125990000000026	0.09566895406053422	0.7803256666666698	0.11483100411376863	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules, bicellular tight junction assembly, cell-cell adhesion	identical protein binding, structural molecule activity, protein binding	bicellular tight junction, cell-cell junction, plasma membrane	Cell-Cell communication, Cell-cell junction organization, Tight junction interactions, Cell junction organization
