id_gen	symbol	log2FC_GNCAt_vs_GNCAn	adj-p-value_GNCAt_vs_GNCAn	vias_reactome	BP	MF	CC
ENSG00000164120	HPGD	-2.05743199305554	5.67798084689328e-26	Metabolism, Synthesis of Lipoxins (LX), Arachidonic acid metabolism, Biosynthesis of D-series resolvins, Synthesis of Prostaglandins (PG) and Thromboxanes (TX), Fatty acid metabolism, Biosynthesis of EPA-derived SPMs, Biosynthesis of specialized proresolving mediators (SPMs), Biosynthesis of E-series 18(S)-resolvins, Metabolism of lipids, Biosynthesis of DHA-derived SPMs	ovulation, parturition, thrombin-activated receptor signaling pathway, ductus arteriosus closure, response to estradiol, negative regulation of cell cycle, lipoxygenase pathway, kidney development, positive regulation of vascular associated smooth muscle cell proliferation, regulation of prostaglandin catabolic process, response to lipopolysaccharide, positive regulation of apoptotic process, response to ethanol, female pregnancy, prostaglandin metabolic process, transforming growth factor beta receptor signaling pathway	NAD+ binding, NAD binding, 15-hydroxyprostaglandin dehydrogenase (NAD+) activity, identical protein binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor, prostaglandin E receptor activity	cytosol, extracellular exosome, nucleoplasm, basolateral plasma membrane, cytoplasm
ENSG00000069974	RAB27A	-1.100010159722201	3.7342776633869738e-25	Innate Immune System, Rab regulation of trafficking, RAB GEFs exchange GTP for GDP on RABs, Metabolism of proteins, Peptide hormone metabolism, Immune System, Insulin processing, Post-translational protein modification, RAB geranylgeranylation, Membrane Trafficking, Vesicle-mediated transport, Neutrophil degranulation	multivesicular body organization, antigen processing and presentation, positive regulation of exocytosis, cytotoxic T cell degranulation, exosomal secretion, positive regulation of phagocytosis, melanosome localization, positive regulation of regulated secretory pathway, complement-dependent cytotoxicity, multivesicular body sorting pathway, exocytosis, melanocyte differentiation, melanosome transport, positive regulation of constitutive secretory pathway, positive regulation of reactive oxygen species biosynthetic process, natural killer cell degranulation, synaptic vesicle transport, positive regulation of gene expression, blood coagulation	GDP binding, GTP binding, myosin V binding, GTPase activity, protein binding, protein domain specific binding, G protein activity	lysosome, cytosol, late endosome, secretory granule, extracellular exosome, melanosome membrane, dendrite, exocytic vesicle, Weibel-Palade body, extracellular region, multivesicular body membrane, melanosome, photoreceptor outer segment, specific granule lumen, apical plasma membrane, Golgi apparatus
ENSG00000163453	IGFBP7	1.2666483055555968	4.640633104742151e-25	Cellular responses to stimuli, Metabolism of proteins, Cellular responses to stress, Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs), Post-translational protein modification, Post-translational protein phosphorylation, Cellular Senescence, Senescence-Associated Secretory Phenotype (SASP)	cell adhesion, response to retinoic acid, negative regulation of cell population proliferation, cellular response to hormone stimulus, response to cortisol, regulation of signal transduction, regulation of cell growth, embryo implantation, regulation of steroid biosynthetic process	insulin-like growth factor binding, protein binding, extracellular matrix structural constituent	collagen-containing extracellular matrix, extracellular exosome, extracellular region, endoplasmic reticulum lumen, extracellular space
ENSG00000108960	MMD	1.3633881805555763	2.6075135060021392e-24		positive regulation of neuron differentiation, positive regulation of protein kinase activity, regulation of protein localization	pore-forming activity, protein binding, protein kinase activity, signaling receptor activity	late endosome membrane, membrane, plasma membrane, lysosomal membrane, Golgi apparatus
ENSG00000163468	CCT3	1.0701022777778135	3.715849600720768e-23	Chaperonin-mediated protein folding, Cargo trafficking to the periciliary membrane, Organelle biogenesis and maintenance, Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding, Prefoldin mediated transfer of substrate  to CCT/TriC, Metabolism of proteins, Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding, Cilium Assembly, BBSome-mediated cargo-targeting to cilium, Protein folding, Formation of tubulin folding intermediates by CCT/TriC, Association of TriC/CCT with target proteins during biosynthesis, Folding of actin by CCT/TriC	binding of sperm to zona pellucida, protein stabilization, positive regulation of telomere maintenance via telomerase, positive regulation of telomerase RNA localization to Cajal body, positive regulation of establishment of protein localization to telomere, positive regulation of protein localization to Cajal body, protein folding, chaperone-mediated protein folding	ATP-dependent protein folding chaperone, protein folding chaperone, unfolded protein binding, ATP binding, protein binding, ATP hydrolysis activity, RNA binding	cytosol, microtubule, extracellular exosome, cell body, cytoskeleton, zona pellucida receptor complex, chaperonin-containing T-complex
ENSG00000124939	SCGB2A1	-1.4236851388888745	7.081599828518343e-23		androgen receptor signaling pathway		extracellular space
ENSG00000105707	HPN	-0.7042132013888747	1.9064437086666805e-22	Signaling by Receptor Tyrosine Kinases, MET Receptor Activation, Signal Transduction, Signaling by MET, Signaling by MST1	negative regulation of apoptotic process, proteolysis, cochlea morphogenesis, positive regulation by host of viral transcription, positive regulation of cell growth, negative regulation of epithelial cell proliferation, basement membrane disassembly, positive regulation of thyroid hormone generation, detection of mechanical stimulus involved in sensory perception of sound, potassium ion transmembrane transport, response to thyroid hormone, positive regulation of hepatocyte proliferation, positive regulation of plasminogen activation, pilomotor reflex, negative regulation of epithelial to mesenchymal transition, regulation of cell shape, positive regulation of gene expression	serine-type endopeptidase activity, serine-type exopeptidase activity, peptidase activity, serine-type peptidase activity, protein binding	extracellular exosome, membrane, neuronal cell body, cell-cell junction, nuclear membrane, cell surface, plasma membrane, apical plasma membrane, endoplasmic reticulum membrane
ENSG00000134871	COL4A2	1.4796603958333634	2.0103133233374048e-22	Collagen chain trimerization, Nervous system development, Anchoring fibril formation, Signaling by PDGF, Collagen biosynthesis and modifying enzymes, Non-integrin membrane-ECM interactions, Axon guidance, NCAM signaling for neurite out-growth, Signaling by Receptor Tyrosine Kinases, Laminin interactions, NCAM1 interactions, Signal Transduction, Degradation of the extracellular matrix, Extracellular matrix organization, Developmental Biology, Collagen degradation, Crosslinking of collagen fibrils, Assembly of collagen fibrils and other multimeric structures, Scavenging by Class A Receptors, Binding and Uptake of Ligands by Scavenger Receptors, Integrin cell surface interactions, Collagen formation, Vesicle-mediated transport, ECM proteoglycans	response to activity, collagen-activated tyrosine kinase receptor signaling pathway, DNA-templated transcription, negative regulation of angiogenesis, angiogenesis, endodermal cell differentiation, extracellular matrix organization, cellular response to transforming growth factor beta stimulus	extracellular matrix structural constituent conferring tensile strength, protein binding, extracellular matrix structural constituent	collagen-containing extracellular matrix, basement membrane, extracellular exosome, extracellular region, collagen type IV trimer, endoplasmic reticulum lumen, extracellular space
ENSG00000064787	BCAS1	-1.16621913888887	2.392004353109127e-22		myelination		extracellular exosome, cytoplasm
ENSG00000100097	LGALS1	1.4569332916667062	3.2944841828548906e-22	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs), Post-translational protein modification, Post-translational protein phosphorylation, Metabolism of proteins	plasma cell differentiation, myoblast differentiation, positive regulation of dendritic cell differentiation, cell-cell adhesion, apoptotic process, positive regulation of apoptotic process, regulation of apoptotic process, positive regulation of I-kappaB kinase/NF-kappaB signaling, positive regulation of inflammatory response, T cell costimulation, positive regulation of viral entry into host cell	laminin binding, protein binding, carbohydrate binding, RNA binding	collagen-containing extracellular matrix, galectin complex, extracellular exosome, extracellular region, endoplasmic reticulum lumen, extracellular space, cytoplasm
ENSG00000182004	SNRPE	1.016861041666699	3.4551518600369497e-22	Viral Infection Pathways, RNA Polymerase II Transcription Termination, SARS-CoV-2-host interactions, Gene expression (Transcription), SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs, Metabolism of RNA, Processing of Capped Intron-Containing Pre-mRNA, RNA Polymerase II Transcription, SARS-CoV Infections, mRNA Splicing - Major Pathway, SLBP independent Processing of Histone Pre-mRNAs, snRNP Assembly, SARS-CoV-2 modulates host translation machinery, Metabolism of non-coding RNA, Disease, Processing of Capped Intronless Pre-mRNA, mRNA Splicing - Minor Pathway, Infectious disease, mRNA Splicing, SARS-CoV-2 Infection	spliceosomal complex assembly, U2-type prespliceosome assembly, spliceosomal snRNP assembly, 7-methylguanosine cap hypermethylation, mRNA splicing, via spliceosome	protein binding, RNA binding	U2-type precatalytic spliceosome, nucleus, U2 snRNP, U2-type catalytic step 2 spliceosome, U4 snRNP, pICln-Sm protein complex, precatalytic spliceosome, spliceosomal complex, methylosome, telomerase holoenzyme complex, U4/U6 x U5 tri-snRNP complex, catalytic step 2 spliceosome, U5 snRNP, U12-type spliceosomal complex, cytosol, SMN-Sm protein complex, U7 snRNP, nucleoplasm, small nuclear ribonucleoprotein complex, U1 snRNP
ENSG00000088340	FER1L4	-0.591751472222203	4.517835849223027e-22				
ENSG00000082438	COBLL1	-0.6389461736110977	7.388657700334689e-22			cadherin binding, actin monomer binding	
ENSG00000143416	SELENBP1	-1.1891978055555406	1.2019066337981825e-21			methanethiol oxidase activity, protein binding, selenium binding	cytosol, extracellular exosome, membrane, nucleolus, fibrillar center, extracellular space
ENSG00000138109	CYP2C9	-1.3471014166666435	4.84932278607914e-21	CYP2E1 reactions, Metabolism, Arachidonic acid metabolism, Aspirin ADME, Biological oxidations, Phase I - Functionalization of compounds, Xenobiotics, Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE), Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET), Fatty acid metabolism, Cytochrome P450 - arranged by substrate type, Biosynthesis of specialized proresolving mediators (SPMs), Biosynthesis of maresins, Metabolism of lipids, Biosynthesis of maresin-like SPMs, Drug ADME, Biosynthesis of DHA-derived SPMs	icosanoid biosynthetic process, oxidative demethylation, epoxygenase P450 pathway, amide metabolic process, urea metabolic process, monoterpenoid metabolic process, cholesterol metabolic process, steroid metabolic process, xenobiotic metabolic process, monocarboxylic acid metabolic process, xenobiotic catabolic process, estrogen metabolic process, long-chain fatty acid biosynthetic process, omega-hydroxylase P450 pathway	iron ion binding, oxidoreductase activity, arachidonic acid epoxygenase activity, steroid hydroxylase activity, (S)-limonene 7-monooxygenase activity, monooxygenase activity, heme binding, (S)-limonene 6-monooxygenase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen, aromatase activity, (R)-limonene 6-monooxygenase activity, caffeine oxidase activity, arachidonic acid 14,15-epoxygenase activity, arachidonic acid 11,12-epoxygenase activity	intracellular membrane-bounded organelle, plasma membrane, endoplasmic reticulum membrane, cytoplasm
ENSG00000110880	CORO1C	1.0367691527778131	1.6849441035979988e-20		signal transduction, negative regulation of protein kinase activity by regulation of protein phosphorylation, endosome fission, negative regulation of epithelial cell migration, negative regulation of focal adhesion assembly, regulation of fibroblast migration, negative regulation of protein phosphorylation, positive regulation of lamellipodium morphogenesis, endosomal transport, regulation of focal adhesion assembly, corpus callosum development, membrane fission, neural crest cell migration, phagocytosis, endosome membrane tubulation, negative regulation of substrate adhesion-dependent cell spreading, regulation of ruffle assembly, regulation of epithelial cell migration, ventricular system development, activation of GTPase activity, establishment of protein localization, regulation of substrate adhesion-dependent cell spreading, regulation of protein phosphorylation, actin filament organization	small GTPase binding, actin filament binding, protein binding	synapse, cell cortex, actin cytoskeleton, endosome membrane, focal adhesion, lateral plasma membrane, sarcomere, vesicle, sarcolemma, lamellipodium, flotillin complex, ruffle membrane
ENSG00000166387	PPFIBP2	-1.0177313194444313	1.03565813960334e-19	Neuronal System, Receptor-type tyrosine-protein phosphatases, Protein-protein interactions at synapses		molecular_function, protein binding, identical protein binding	presynaptic active zone, cytosol, extracellular space
ENSG00000172005	MAL	-1.2391915416666412	1.1605345668459638e-19		membrane raft polarization, protein localization to paranode region of axon, protein insertion into plasma membrane, central nervous system myelination, myelination, positive regulation of extrinsic apoptotic signaling pathway via death domain receptors, cell differentiation, apoptotic process, apical protein localization, central nervous system development	peptidase activator activity involved in apoptotic process, structural constituent of myelin sheath, protein binding, lipid binding	hinge region between urothelial plaques of apical plasma membrane, plasma membrane raft, endoplasmic reticulum, membrane raft, Schmidt-Lanterman incisure, apical plasma membrane
ENSG00000145703	IQGAP2	-1.1163949305555372	1.3615742964471452e-19	RHO GTPase Effectors, RAC1 GTPase cycle, Innate Immune System, RHO GTPase cycle, Signaling by Rho GTPases, Miro GTPases and RHOBTB3, Signal Transduction, Immune System, CDC42 GTPase cycle, RHOG GTPase cycle, RHO GTPases activate IQGAPs, Signaling by Rho GTPases, Neutrophil degranulation	thrombin-activated receptor signaling pathway, signal transduction, regulation of actin cytoskeleton organization, regulation of GTPase activity, Arp2/3 complex-mediated actin nucleation, mitotic actomyosin contractile ring assembly actin filament organization	small GTPase binding, actin filament binding, calmodulin binding, GTPase activator activity, phosphatidylinositol-3,4,5-trisphosphate binding, GTPase inhibitor activity, actin binding, Arp2/3 complex binding	cytosol, microvillus, extracellular exosome, cell cortex, actin cytoskeleton, cell surface, plasma membrane, filopodium, secretory granule membrane, lamellipodium, cytoplasm
ENSG00000115648	MLPH	-1.3729060694444168	1.6250827684246034e-19		melanosome transport, intracellular protein transport	small GTPase binding, protein-macromolecule adaptor activity, myosin binding, actin binding, metal ion binding, protein binding	dendrite, cortical actin cytoskeleton, extracellular exosome, perinuclear region of cytoplasm
ENSG00000131378	RFTN1	1.0069811388889125	4.489363187182408e-19		T cell receptor signaling pathway, protein localization to membrane raft, positive regulation of growth rate, positive regulation of interleukin-17 production, protein transport into membrane raft, dsRNA transport, T cell antigen processing and presentation, response to exogenous dsRNA, B cell receptor signaling pathway, toll-like receptor 3 signaling pathway, membrane raft assembly		endosome, extracellular exosome, plasma membrane, membrane raft, early endosome, protein-containing complex, cytoplasm
ENSG00000106211	HSPB1	1.4848285277778164	5.541793112064342e-19	Signaling by Receptor Tyrosine Kinases, MAPK family signaling cascades, Signaling by VEGF, VEGFA-VEGFR2 Pathway, Signal Transduction, AUF1 (hnRNP D0) binds and destabilizes mRNA, Metabolism of RNA, Extra-nuclear estrogen signaling, Regulation of mRNA stability by proteins that bind AU-rich elements, Signaling by Nuclear Receptors, ESR-mediated signaling, MAPK6/MAPK4 signaling	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway, positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway, regulation of I-kappaB kinase/NF-kappaB signaling, response to heat, positive regulation of angiogenesis, negative regulation of protein kinase activity, positive regulation of endothelial cell chemotaxis, regulation of translational initiation, response to unfolded protein, anterograde axonal protein transport, positive regulation of interleukin-1 beta production, chaperone-mediated protein folding, negative regulation of apoptotic process, response to virus, intracellular signal transduction, protein refolding, platelet aggregation, regulation of protein phosphorylation, retina homeostasis, cellular response to vascular endothelial growth factor stimulus, regulation of autophagy, positive regulation of tumor necrosis factor production, positive regulation of blood vessel endothelial cell migration	RNA polymerase II-specific DNA-binding transcription factor binding, protein kinase C binding, protein folding chaperone, protein kinase C inhibitor activity, identical protein binding, ubiquitin binding, protein homodimerization activity, unfolded protein binding, protein kinase binding, protein binding, RNA binding	cytosol, extracellular exosome, proteasome complex, nucleus, Z disc, axon cytoplasm, focal adhesion, cornified envelope, cytoskeleton, spindle, extracellular space, cytoplasm
ENSG00000049449	RCN1	1.025484236111149	6.02970873927443e-19	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs), Post-translational protein modification, Post-translational protein phosphorylation, Metabolism of proteins	camera-type eye development, in utero embryonic development	calcium ion binding, protein binding	endoplasmic reticulum lumen, endoplasmic reticulum
ENSG00000108242	CYP2C18	-1.584660763888868	7.97884516971429e-19	Metabolism, Biological oxidations, Phase I - Functionalization of compounds, Xenobiotics, Cytochrome P450 - arranged by substrate type	epoxygenase P450 pathway, retinoic acid metabolic process, xenobiotic metabolic process, linoleic acid metabolic process, retinol metabolic process	iron ion binding, arachidonic acid epoxygenase activity, oxygen binding, monooxygenase activity, heme binding, aromatase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen, linoleic acid epoxygenase activity, retinoic acid 4-hydroxylase activity	intracellular membrane-bounded organelle, plasma membrane, endoplasmic reticulum membrane, cytoplasm
ENSG00000173207	CKS1B	1.0121047361111335	8.010206157887615e-19	Cyclin E associated events during G1/S transition , Cyclin D associated events in G1, G1/S Transition, S Phase, Cyclin A:Cdk2-associated events at S phase entry, G1 Phase, Cell Cycle, Cell Cycle, Mitotic, SCF(Skp2)-mediated degradation of p27/p21, Mitotic G1 phase and G1/S transition	cell division, regulation of mitotic cell cycle, fibroblast proliferation, regulation of DNA-templated transcription, mitotic cell cycle phase transition	histone binding, cyclin-dependent protein serine/threonine kinase activator activity, ubiquitin binding, protein kinase binding, protein binding	SCF ubiquitin ligase complex, nucleoplasm, cyclin-dependent protein kinase holoenzyme complex
ENSG00000091136	LAMB1	1.1550978819444635	1.2415320951985345e-18	Nervous system development, Metabolism of proteins, Post-translational protein phosphorylation, EGR2 and SOX10-mediated initiation of Schwann cell myelination, Non-integrin membrane-ECM interactions, Axon guidance, Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs), L1CAM interactions, Signaling by Receptor Tyrosine Kinases, Laminin interactions, Signal Transduction, MET activates PTK2 signaling, Degradation of the extracellular matrix, Extracellular matrix organization, Signaling by MET, Developmental Biology, MET promotes cell motility, Post-translational protein modification, ECM proteoglycans	positive regulation of epithelial cell proliferation, cell adhesion, positive regulation of cell adhesion, regulation of basement membrane organization, neuronal-glial interaction involved in cerebral cortex radial glia guided migration, positive regulation of cell migration, odontogenesis, positive regulation of integrin-mediated signaling pathway, endodermal cell differentiation, substrate adhesion-dependent cell spreading, neuron projection development, positive regulation of muscle cell differentiation	structural molecule activity, extracellular matrix structural constituent, protein binding	laminin-2 complex, collagen-containing extracellular matrix, basement membrane, extracellular exosome, extracellular space, laminin-8 complex, extracellular region, perinuclear region of cytoplasm, protein complex involved in cell-matrix adhesion, endoplasmic reticulum lumen, laminin-10 complex, laminin-1 complex
ENSG00000005020	SKAP2	0.8882600972222443	1.3872525832662625e-18	Cell-Cell communication, Signal regulatory protein family interactions	negative regulation of cell population proliferation, B cell activation, signal transduction		cytosol, nucleoplasm, plasma membrane, cytoplasm
