id_gen	symbol	log2FC_GCAt_vs_GCAn	adj-p-value_GCAt_vs_GCAn	log2FC_GNCAt_vs_GNCAn	adj-p-value_GNCAt_vs_GNCAn	vias_reactome	BP	MF	CC
ENSG00000187134	AKR1C1	-1.093776944451614	4.94170086280135e-13	-1.3598458194444056	1.9962103961270856e-17	Metabolism, Visual phototransduction, Synthesis of bile acids and bile salts via 24-hydroxycholesterol, Synthesis of bile acids and bile salts, Metabolism of vitamins and cofactors, Sensory Perception, Prednisone ADME, Synthesis of bile acids and bile salts via 27-hydroxycholesterol, Metabolism of steroids, Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol, Drug ADME, Metabolism of lipids, Bile acid and bile salt metabolism, Retinoid metabolism and transport, Metabolism of fat-soluble vitamins	cellular response to jasmonic acid stimulus, retinoid metabolic process, digestion, bile acid metabolic process, xenobiotic metabolic process, progesterone metabolic process, positive regulation of reactive oxygen species metabolic process, response to organophosphorus, retinal metabolic process, intestinal cholesterol absorption, epithelial cell differentiation, doxorubicin metabolic process, bile acid and bile salt transport, cholesterol homeostasis, prostaglandin metabolic process, daunorubicin metabolic process	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor, testosterone dehydrogenase [NAD(P)] activity, dihydrotestosterone 17-beta-dehydrogenase activity, androsterone dehydrogenase activity, indanol dehydrogenase activity, 3beta-hydroxy-5beta-steroid dehydrogenase activity, carboxylic acid binding, oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor, ketosteroid monooxygenase activity, 17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity, aldo-keto reductase (NADP) activity, androstan-3-alpha,17-beta-diol dehydrogenase activity, alditol:NADP+ 1-oxidoreductase activity, phenanthrene 9,10-monooxygenase activity, trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity, protein binding, testosterone 17-beta-dehydrogenase (NADP+) activity, androsterone dehydrogenase (B-specific) activity, bile acid binding, 5alpha-androstane-3beta,17beta-diol dehydrogenase activity, estradiol 17-beta-dehydrogenase [NAD(P)] activity	cytosol, extracellular exosome
ENSG00000151632	AKR1C2	-1.093776944451614	4.94170086280135e-13	-1.3598458194444056	1.9962103961270856e-17	Metabolism, Synthesis of bile acids and bile salts via 24-hydroxycholesterol, Synthesis of bile acids and bile salts, Synthesis of bile acids and bile salts via 27-hydroxycholesterol, Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol, Metabolism of lipids, Bile acid and bile salt metabolism, Metabolism of steroids	cellular response to jasmonic acid stimulus, digestion, daunorubicin metabolic process, steroid metabolic process, cellular response to prostaglandin D stimulus, progesterone metabolic process, epithelial cell differentiation, doxorubicin metabolic process, positive regulation of protein kinase B signaling, prostaglandin metabolic process, positive regulation of cell population proliferation, G protein-coupled receptor signaling pathway	carboxylic acid binding, androstan-3-alpha,17-beta-diol dehydrogenase activity, alditol:NADP+ 1-oxidoreductase activity, oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor, bile acid binding, phenanthrene 9,10-monooxygenase activity, ketosteroid monooxygenase activity, indanol dehydrogenase activity, androsterone dehydrogenase activity, trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity, estradiol 17-beta-dehydrogenase [NAD(P)] activity	
ENSG00000196139	AKR1C3	-0.8993630865806495	0.0003935065914871	-1.543208305555515	1.3324854815513092e-10	Visual phototransduction, Synthesis of bile acids and bile salts, Retinoid metabolism and transport, Arachidonic acid metabolism, RA biosynthesis pathway, Signaling by Nuclear Receptors, Synthesis of bile acids and bile salts via 27-hydroxycholesterol, Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol, Bile acid and bile salt metabolism, Metabolism of steroids, Metabolism of fat-soluble vitamins, Signal Transduction, Metabolism of vitamins and cofactors, Synthesis of Prostaglandins (PG) and Thromboxanes (TX), Sensory Perception, Metabolism of lipids, Metabolism, Synthesis of bile acids and bile salts via 24-hydroxycholesterol, Signaling by Retinoic Acid, Fatty acid metabolism	retinoid metabolic process, farnesol catabolic process, doxorubicin metabolic process, prostaglandin metabolic process, daunorubicin metabolic process, retinol metabolic process, macromolecule metabolic process, keratinocyte differentiation, negative regulation of retinoic acid biosynthetic process, steroid metabolic process, cyclooxygenase pathway, cellular response to jasmonic acid stimulus, positive regulation of cell population proliferation, cellular response to calcium ion, regulation of testosterone biosynthetic process, progesterone metabolic process, positive regulation of reactive oxygen species metabolic process, regulation of retinoic acid receptor signaling pathway, retinal metabolic process, cellular response to prostaglandin stimulus, positive regulation of protein kinase B signaling, G protein-coupled receptor signaling pathway, cellular response to starvation, cellular response to prostaglandin D stimulus, positive regulation of endothelial cell apoptotic process, cellular response to corticosteroid stimulus, response to nutrient, renal absorption, testosterone biosynthetic process, male gonad development	dihydrotestosterone 17-beta-dehydrogenase activity, NADP-retinol dehydrogenase activity, NAD-retinol dehydrogenase activity, retinal dehydrogenase activity, androsterone dehydrogenase activity, delta4-3-oxosteroid 5beta-reductase activity, 15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity, oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor, geranylgeranyl reductase activity, ketosteroid monooxygenase activity, aldo-keto reductase (NADP) activity, testosterone dehydrogenase (NAD+) activity, androstan-3-alpha,17-beta-diol dehydrogenase activity, alditol:NADP+ 1-oxidoreductase activity, phenanthrene 9,10-monooxygenase activity, prostaglandin H2 endoperoxidase reductase activity, prostaglandin D2 11-ketoreductase activity, testosterone 17-beta-dehydrogenase (NADP+) activity, bile acid binding, ketoreductase activity, prostaglandin-F synthase activity, 5alpha-androstane-3beta,17beta-diol dehydrogenase activity, estradiol 17-beta-dehydrogenase [NAD(P)] activity	cytoplasm, cytosol, extracellular exosome, nucleus
ENSG00000162482	AKR7A3	-1.7614637136612892	7.8139348646393345e-19	-2.014799986111077	6.7431850533926635e-40	Biological oxidations, Metabolism, Aflatoxin activation and detoxification	cellular aldehyde metabolic process, electron transport chain	aldo-keto reductase (NADP) activity, protein binding, electron transfer activity, identical protein binding	cytosol, extracellular exosome, Golgi apparatus, cytoplasm
ENSG00000165092	ALDH1A1	-1.7249776175806488	8.597875681619297e-13	-2.2773349305555275	1.514483777695504e-21	Metabolism, RA biosynthesis pathway, Metabolism of carbohydrates, Signal Transduction, Biological oxidations, Phase I - Functionalization of compounds, Signaling by Retinoic Acid, Signaling by Nuclear Receptors, Fructose catabolism, Ethanol oxidation, Fructose metabolism	negative regulation of cold-induced thermogenesis, maintenance of lens transparency, gamma-aminobutyric acid biosynthetic process, retinoid metabolic process, fructosamine catabolic process, cellular aldehyde metabolic process, cellular detoxification of aldehyde, retinol metabolic process	benzaldehyde dehydrogenase (NAD+) activity, androgen binding, NAD binding, aminobutyraldehyde dehydrogenase activity, aldehyde dehydrogenase (NAD+) activity, GTPase activator activity, glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity, 3-deoxyglucosone dehydrogenase activity, retinal dehydrogenase activity, protein binding	cytosol, synapse, extracellular exosome, axon, cytoplasm
ENSG00000108602	ALDH3A1	-1.764952808983872	5.323630375637078e-16	-2.4520137777777533	7.61834477591004e-33	Biological oxidations, Metabolism, Phase I - Functionalization of compounds	lipid metabolic process, cellular aldehyde metabolic process, xenobiotic metabolic process	benzaldehyde dehydrogenase (NAD+) activity, aldehyde dehydrogenase [NAD(P)+] activity, 3-chloroallyl aldehyde dehydrogenase activity, aldehyde dehydrogenase (NAD+) activity, alcohol dehydrogenase (NADP+) activity, protein binding	cytosol, endoplasmic reticulum, plasma membrane, extracellular space, cytoplasm
ENSG00000119711	ALDH6A1	-1.769986843677418	3.1113664114504784e-31	-1.6356007361110816	3.757233596638559e-31	Metabolism, Metabolism of amino acids and derivatives, Branched-chain amino acid catabolism	brown fat cell differentiation, branched-chain amino acid catabolic process, valine catabolic process, valine metabolic process, thymine metabolic process, thymine catabolic process	fatty-acyl-CoA binding, methylmalonate-semialdehyde dehydrogenase (acylating) activity, malonate-semialdehyde dehydrogenase (acetylating) activity, malonate-semialdehyde dehydrogenase (acetylating, NAD+) activity, RNA binding	nucleoplasm, mitochondrion, mitochondrial matrix
ENSG00000136872	ALDOB	-0.7924969946048366	0.0033589856258269	-1.2348586388888707	2.5487763398672674e-05	Glucose metabolism, Diseases of carbohydrate metabolism, Metabolism, Hereditary fructose intolerance, Fructose catabolism, Metabolism of carbohydrates, Gluconeogenesis, Glycolysis, Diseases of metabolism, Disease, Fructose metabolism	fructose metabolic process, NADH oxidation, glycolytic process, vacuolar proton-transporting V-type ATPase complex assembly, positive regulation of ATP-dependent activity, fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate, negative regulation of pentose-phosphate shunt, fructose 1,6-bisphosphate metabolic process	cytoskeletal protein binding, fructose-1-phosphate aldolase activity, ATPase binding, fructose binding, identical protein binding, molecular adaptor activity, fructose-bisphosphate aldolase activity, protein binding	cytosol, centriolar satellite, extracellular exosome, microtubule organizing center
ENSG00000109511	ANXA10	-3.342817069177425	4.456715064657048e-21	-3.3774372361110867	2.019520355690484e-24			calcium-dependent phospholipid binding, calcium ion binding, protein binding	
ENSG00000105290	APLP1	-1.3727109768548402	3.503981763154508e-21	-1.3463744999999756	2.3073198755804245e-23		endocytosis, cell adhesion, animal organ morphogenesis, forebrain development, nervous system development, negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway, axonogenesis, extracellular matrix organization, apoptotic process, cytoplasmic polyadenylation, central nervous system development, cellular response to norepinephrine stimulus, regulation of translation	heparin binding, identical protein binding, alpha-2B adrenergic receptor binding, alpha-2A adrenergic receptor binding, alpha-2C adrenergic receptor binding, transition metal ion binding, protein binding	basement membrane, nucleoplasm, perinuclear region of cytoplasm, plasma membrane, Golgi apparatus
ENSG00000179674	ARL14	-0.8428695850967731	0.0002337812939489	-1.700211777777758	7.14269976789588e-16		vesicle-mediated transport, intracellular protein transport	GTP binding, protein binding, GTPase activity	cytoplasmic vesicle, cytoplasm
ENSG00000143153	ATP1B1	-0.4716301876854789	0.0010581644526716	-0.8546469374999734	1.9015139022544632e-08	Viral Infection Pathways, SARS-CoV Infections, Potential therapeutics for SARS, Cardiac conduction, Ion transport by P-type ATPases, Ion channel transport, Basigin interactions, Muscle contraction, Ion homeostasis, Infectious disease, Transport of small molecules, Disease, Cell surface interactions at the vascular wall, Hemostasis	regulation of cardiac muscle contraction by calcium ion signaling, sodium ion transmembrane transport, innate immune response, potassium ion import across plasma membrane, positive regulation of ATP-dependent activity, regulation of gene expression, positive regulation of calcium:sodium antiporter activity, positive regulation of P-type sodium:potassium-exchanging transporter activity, positive regulation of potassium ion transmembrane transporter activity, ATP metabolic process, relaxation of cardiac muscle, establishment or maintenance of transmembrane electrochemical gradient, protein transport into plasma membrane raft, positive regulation of potassium ion import across plasma membrane, cardiac muscle contraction, cell adhesion, protein stabilization, intracellular sodium ion homeostasis, sodium ion export across plasma membrane, intracellular calcium ion homeostasis, protein localization to plasma membrane, intracellular potassium ion homeostasis, cell communication by electrical coupling involved in cardiac conduction, proton transmembrane transport, monoatomic cation transmembrane transport, membrane repolarization during cardiac muscle cell action potential, positive regulation of sodium ion export across plasma membrane, membrane repolarization	protein-macromolecule adaptor activity, MHC class II protein complex binding, ATPase binding, ATPase activator activity, protein heterodimerization activity, protein kinase binding, protein binding	sperm flagellum, extracellular exosome, organelle membrane, sodium:potassium-exchanging ATPase complex, membrane, basolateral plasma membrane, extracellular vesicle, lateral plasma membrane, sarcolemma, plasma membrane, T-tubule, intercalated disc, apical plasma membrane
ENSG00000105675	ATP4A	-5.018923723935487	9.177812190209512e-32	-5.3798212083333175	2.899110684807784e-46	Ion channel transport, Ion transport by P-type ATPases, Transport of small molecules	intracellular potassium ion homeostasis, monoatomic ion transmembrane transport, proton transmembrane transport, regulation of proton transport, intracellular sodium ion homeostasis, response to xenobiotic stimulus, potassium ion import across plasma membrane, pH reduction, establishment or maintenance of transmembrane electrochemical gradient, sodium ion export across plasma membrane	P-type sodium:potassium-exchanging transporter activity, P-type potassium:proton transporter activity, potassium ion binding, magnesium ion binding, ATP binding, ATP hydrolysis activity	apical plasma membrane, plasma membrane, extracellular space
ENSG00000186009	ATP4B	-5.870818032612897	2.046899359862088e-33	-6.211194888888867	3.1072004092036364e-48	Ion channel transport, Ion transport by P-type ATPases, Transport of small molecules	intracellular potassium ion homeostasis, proton transmembrane transport, cell adhesion, intracellular sodium ion homeostasis, potassium ion import across plasma membrane, response to organonitrogen compound, pH reduction, response to lipopolysaccharide, sodium ion export across plasma membrane	ATPase activator activity, P-type potassium:proton transporter activity, heterocyclic compound binding, protein binding	apical plasma membrane, sodium:potassium-exchanging ATPase complex, plasma membrane
ENSG00000160862	AZGP1	-1.974961091475806	1.095780299491926e-14	-2.3004695277777643	7.103998829348277e-28	Miscellaneous transport and binding events, Transport of small molecules	cell adhesion, negative regulation of cell population proliferation, retina homeostasis, protein transmembrane transport, detection of chemical stimulus involved in sensory perception of bitter taste, immune response	protein transmembrane transporter activity, RNA nuclease activity, protein binding	collagen-containing extracellular matrix, extracellular exosome, nucleus, extracellular region, external side of plasma membrane, extracellular space
ENSG00000109956	B3GAT1	-1.0916197327258068	6.510105921993897e-20	-0.9674031111110972	5.7518153281311645e-24	Heparan sulfate/heparin (HS-GAG) metabolism, Metabolism, Metabolism of carbohydrates, A tetrasaccharide linker sequence is required for GAG synthesis, Glycosaminoglycan metabolism, Chondroitin sulfate/dermatan sulfate metabolism	visual learning, glycosaminoglycan biosynthetic process, carbohydrate metabolic process, protein glycosylation, chondroitin sulfate proteoglycan biosynthetic process	metal ion binding, galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity, protein binding	membrane, extracellular region, intracellular membrane-bounded organelle, Golgi membrane, endoplasmic reticulum membrane
ENSG00000064787	BCAS1	-0.6876325869354858	2.6779466125468083e-08	-1.16621913888887	2.392004353109127e-22		myelination		extracellular exosome, cytoplasm
ENSG00000182795	C1orf116	-0.6524172579112912	9.652133735247374e-06	-1.055297368055525	2.9452864690432903e-17			molecular_function, protein binding	extracellular exosome, cytosol, plasma membrane, cytoplasm
ENSG00000106804	C5	-1.0667016422419344	6.0260991167875324e-18	-1.0224702222222009	2.1679040182454705e-18	Class A/1 (Rhodopsin-like receptors), Terminal pathway of complement, Complement cascade, Innate Immune System, G alpha (i) signalling events, GPCR downstream signalling, Signal Transduction, Peptide ligand-binding receptors, Signaling by GPCR, Immune System, Activation of C3 and C5, GPCR ligand binding, Regulation of Complement cascade	negative regulation of macrophage chemotaxis, killing of cells of another organism, cell surface receptor signaling pathway, positive regulation of chemokine production, positive regulation of vascular endothelial growth factor production, inflammatory response, complement activation, classical pathway, cell chemotaxis, G protein-coupled receptor signaling pathway, complement activation, alternative pathway, chemotaxis	signaling receptor binding, chemokine activity, protein binding, endopeptidase inhibitor activity	membrane attack complex, extracellular region, extracellular exosome, extracellular space
ENSG00000104267	CA2	-2.535404983000003	6.799389518531036e-14	-3.0704726805555254	2.4306564020737288e-20	Metabolism, Erythrocytes take up oxygen and release carbon dioxide, O2/CO2 exchange in erythrocytes, Transport of small molecules, Reversible hydration of carbon dioxide, Erythrocytes take up carbon dioxide and release oxygen	regulation of intracellular pH, positive regulation of cellular pH reduction, morphogenesis of an epithelium, positive regulation of synaptic transmission, GABAergic, positive regulation of dipeptide transmembrane transport, regulation of chloride transport, one-carbon metabolic process, regulation of monoatomic anion transport, angiotensin-activated signaling pathway, secretion, neuron cellular homeostasis, carbon dioxide transport	cyanamide hydratase activity, arylesterase activity, zinc ion binding, protein binding, carbonate dehydratase activity	cytosol, extracellular exosome, cytoplasm, apical part of cell, plasma membrane, myelin sheath
ENSG00000107159	CA9	-2.076682735677423	1.2041873540433543e-20	-2.474100069444426	1.5293840574380338e-41	Metabolism, Cellular responses to stimuli, Cellular responses to stress, Regulation of gene expression by Hypoxia-inducible Factor, Reversible hydration of carbon dioxide, Cellular response to hypoxia	response to xenobiotic stimulus, morphogenesis of an epithelium, one-carbon metabolic process, response to hypoxia, response to testosterone, secretion	molecular function activator activity, protein binding, zinc ion binding, carbonate dehydratase activity	membrane, nucleolus, basolateral plasma membrane, microvillus membrane, plasma membrane
ENSG00000135773	CAPN9	-1.4260176649838705	3.02380526515572e-17	-1.9631268333333125	5.4970884262768206e-39	Degradation of the extracellular matrix, Extracellular matrix organization	digestion, proteolysis	calcium ion binding, calcium-dependent cysteine-type endopeptidase activity	cellular_component, cytoplasm
ENSG00000163394	CCKAR	-0.2679270005967744	1.606019700026969e-08	-0.1972200694444241	7.130257860031441e-07	Class A/1 (Rhodopsin-like receptors), GPCR downstream signalling, Signal Transduction, Peptide ligand-binding receptors, Signaling by GPCR, G alpha (q) signalling events, GPCR ligand binding	phospholipase C-activating G protein-coupled receptor signaling pathway, cellular response to hormone stimulus, regulation of hormone secretion, forebrain development, cholecystokinin signaling pathway, neuron migration, axonogenesis, G protein-coupled receptor signaling pathway	peptide hormone binding, peptide binding, cholecystokinin receptor activity	cytosol, nucleoplasm, membrane, plasma membrane
ENSG00000110148	CCKBR	-1.826600638822578	8.264592439150215e-29	-1.6914279027777628	2.0369027127064505e-35	Class A/1 (Rhodopsin-like receptors), Gastrin-CREB signalling pathway via PKC and MAPK, GPCR downstream signalling, Signal Transduction, Peptide ligand-binding receptors, Signaling by GPCR, G alpha (q) signalling events, GPCR ligand binding	gastric acid secretion, cell surface receptor signaling pathway, phospholipase C-activating G protein-coupled receptor signaling pathway, positive regulation of cytosolic calcium ion concentration, cholecystokinin signaling pathway, pH reduction, digestive tract development, positive regulation of cell population proliferation, gland development	1-phosphatidylinositol-3-kinase regulator activity, type B gastrin/cholecystokinin receptor binding, peptide hormone binding, gastrin receptor activity, protein binding, cholecystokinin receptor activity	plasma membrane, intracellular membrane-bounded organelle
ENSG00000197766	CFD	-1.695531021499999	1.1194446608276541e-13	-1.079353861111079	5.9375039062654726e-08	Complement cascade, Innate Immune System, Initial triggering of complement, Platelet degranulation , Alternative complement activation, Immune System, Platelet activation, signaling and aggregation, Response to elevated platelet cytosolic Ca2+, Neutrophil degranulation, Hemostasis	response to bacterium, proteolysis, complement activation, complement activation, alternative pathway	serine-type peptidase activity, serine-type endopeptidase activity	extracellular exosome, platelet alpha granule lumen, ficolin-1-rich granule lumen, extracellular region, secretory granule lumen
ENSG00000100604	CHGA	-1.563378691951618	3.160655906488528e-23	-1.6911240416666509	5.535399616019818e-30	Immune System, Innate Immune System, Antimicrobial peptides	innate immune response, mast cell chemotaxis, organelle organization, negative regulation of insulin secretion, defense response to bacterium, killing of cells of another organism, negative regulation of neuron death, regulation of the force of heart contraction, defense response to fungus, negative regulation of catecholamine secretion, positive regulation of relaxation of cardiac muscle, positive regulation of dense core granule biogenesis, defense response to Gram-positive bacterium, mast cell activation, defense response to Gram-negative bacterium, positive regulation of cardiac muscle contraction, positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway, protein localization to secretory granule, regulation of blood pressure, mast cell degranulation, adenylate cyclase-activating adrenergic receptor signaling pathway involved in cardiac muscle relaxation		secretory granule, neuronal dense core vesicle, extracellular region, chromaffin granule, perinuclear region of cytoplasm, transport vesicle, extracellular space
ENSG00000134216	CHIA	-4.521224697370963	1.479046215135088e-25	-3.4837087916666407	1.4824242815023548e-24	Digestion and absorption, Digestion, Digestion of dietary carbohydrate	positive regulation of chemokine production, immune system process, chitin metabolic process, polysaccharide catabolic process, chitin catabolic process, production of molecular mediator involved in inflammatory response, polysaccharide digestion, apoptotic process	chitin binding, chitinase activity, kinase binding, protein binding	extracellular region, extracellular space, cytoplasm
ENSG00000099622	CIRBP	-0.8271889971451625	9.748159822716847e-17	-0.416981062499973	2.7409515496741323e-08		negative regulation of translation, response to cold, positive regulation of mRNA splicing, via spliceosome, stress granule assembly, positive regulation of translation, mRNA stabilization, response to UV	translation repressor activity, mRNA 3'-UTR binding, small ribosomal subunit rRNA binding, protein binding, RNA binding	nucleus, nucleoplasm, spliceosomal complex, cytoplasmic stress granule, cytoplasm
